,index,site_id,building_id,primary_use,sub_primary_use,square_feet,lat,lng,year_built
391,762921,13,1173,Manufacturing/industrial,Greenhouse,13091.0,44.97,-93.25,
392,764218,14,1297,Office,Office,21469.0,,,
393,769367,14,1223,Office,Office,52141.0,,,
394,773326,14,1321,Entertainment/public assembly,Athletic,370024.0,,,
395,777248,14,1281,Office,Office,103138.0,,,
396,778253,14,1283,Public services,Library,76537.0,,,
397,782123,14,1247,Food sales and service,Dining,69876.0,,,
398,786086,14,1262,Office,Office,65000.0,,,
399,789988,14,1263,Education,Research,97838.0,,,
400,793926,14,1256,Office,Office,37917.0,,,
401,796566,14,1286,Healthcare,Patient Care,205472.0,,,
402,800478,14,1279,Office,Office,64743.0,,,
403,801719,14,1231,Education,Research,13220.0,,,
404,804349,14,1235,Public services,Library,278369.0,,,
405,808310,14,1261,Office,Office,42942.0,,,
406,809682,14,1301,Education,Research,62242.0,,,
407,814949,14,1320,Entertainment/public assembly,Athletic,34565.0,,,
408,816294,14,1312,Lodging/residential,Housing,75000.0,,,
409,820275,14,1242,Office,Office,23871.0,,,
410,824240,14,1308,Lodging/residential,Housing,62279.0,,,
411,828124,14,1276,Office,Office,53860.0,,,
412,832052,14,1250,Education,Research,232139.0,,,
413,836018,14,1265,Food sales and service,Dining,35605.0,,,
414,839926,14,1306,Lodging/residential,Housing,54172.0,,,
415,843543,14,1282,Healthcare,Support,12500.0,,,
416,844833,14,1271,Public services,Public Service,20540.0,,,
417,848741,14,1324,Entertainment/public assembly,Athletic,84688.0,,,
418,852612,14,1300,Healthcare,Patient Care,25609.0,,,
419,856457,14,1241,Healthcare,Support,194188.0,,,
420,861779,14,1246,Office,Office,50327.0,,,
421,865743,14,1296,Office,Office,8836.0,,,
422,870919,14,1275,Office,Office,114166.0,,,
423,874887,14,1229,Office,Office,27646.0,,,
424,878828,14,1291,Office,Office,237546.0,,,
425,882669,15,1427,Education,College Classroom,180625.0,42.47,-76.5,1933.0
426,884989,15,1421,Education,College Classroom,47934.0,42.47,-76.5,
427,886157,15,1379,Office,Office,49553.0,42.47,-76.5,1963.0
428,889764,15,1406,Lodging/residential,Dormitory,136522.0,42.47,-76.5,2005.0
429,892162,15,1372,Education,College Laboratory,16289.0,42.47,-76.5,1957.0
430,893373,15,1362,Education,Student Union,113988.0,42.47,-76.5,1923.0
431,895769,15,1359,Education,College Classroom,124289.0,42.47,-76.5,1904.0
432,898208,15,1363,Office,Office,157933.0,42.47,-76.5,1932.0
433,901729,15,1378,Education,College Laboratory,214505.0,42.47,-76.5,1990.0
434,904051,15,1442,Public services,Library,99541.0,42.47,-76.5,1993.0
435,906433,15,1349,Manufacturing/industrial,Greenhouse,7919.0,42.47,-76.5,1970.0
436,907530,15,1367,Education,College Classroom,33695.0,42.47,-76.5,1948.0
437,911030,15,1353,Religious worship,Religious building,22201.0,42.47,-76.5,
438,913349,15,1399,Lodging/residential,Dormitory,166814.0,42.47,-76.5,1929.0
439,914611,15,1430,Office,Office,53303.0,42.47,-76.5,1981.0
440,916731,15,1371,Public services,Library,50577.0,42.47,-76.5,1956.0
441,917886,15,1377,Education,College Laboratory,74599.0,42.47,-76.5,1984.0
442,921357,15,1368,Entertainment/public assembly,Gymnasium,199037.0,42.47,-76.5,1949.0
443,923627,15,1397,Lodging/residential,Dormitory,19984.0,42.47,-76.5,1914.0
444,924832,15,1409,Lodging/residential,Dormitory,48881.0,42.47,-76.5,1902.0
445,928182,15,1418,Lodging/residential,Dormitory,41302.0,42.47,-76.5,1975.0
446,930527,15,1373,Education,College Classroom,105434.0,42.47,-76.5,2014.0
447,931730,15,1435,Education,College Laboratory,9552.0,42.47,-76.5,1961.0
448,932898,15,1357,Office,Office,21618.0,42.47,-76.5,
449,935240,15,1405,Lodging/residential,Dormitory,142901.0,42.47,-76.5,2007.0
450,938589,15,1352,Office,Office,42755.0,42.47,-76.5,
451,940963,15,1386,Entertainment/public assembly,Museum,82035.0,42.47,-76.5,1975.0
452,944473,15,1387,Office,Office,187041.0,42.47,-76.5,1973.0
453,946828,15,1385,Education,College Laboratory,124521.0,42.47,-76.5,1967.0
454,948023,15,1410,Office,Office,11524.0,42.47,-76.5,1994.0
455,950321,15,1350,Education,College Laboratory,149762.0,42.47,-76.5,2004.0
456,953899,15,1403,Lodging/residential,Dormitory,78438.0,42.47,-76.5,2004.0
457,955048,15,1416,Lodging/residential,Dormitory,41236.0,42.47,-76.5,1975.0
458,956169,15,1366,Office,Office,87977.0,42.47,-76.5,1947.0
459,959629,15,1325,Entertainment/public assembly,Gymnasium,155177.0,42.47,-76.5,1915.0
460,961432,15,1448,Office,Office,92271.0,42.47,-76.5,2001.0
461,962594,15,1344,Education,College Laboratory,125507.0,42.47,-76.5,1974.0
462,966105,15,1423,Lodging/residential,Dormitory,18277.0,42.47,-76.5,1965.0
463,967269,15,1342,Education,College Laboratory,116854.0,42.47,-76.5,1978.0
464,970816,15,1345,Education,College Laboratory,20889.0,42.47,-76.5,1976.0
465,974201,13,1099,Education,Student Union,332884.0,44.97,-93.25,
